LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
121	-120.75	55.41	9	111	28	9656	201	-187	388	126	-49	126	-121	571	81	23	38	226	91	226	119	lp
122	-118.46	50.2	33	97	29	7695	217	-108	325	-57	27	133	-64	706	89	43	23	238	142	168	222	lp
123	-120.33	50.56	51	111	32	8076	240	-106	346	154	6	154	-54	338	36	16	24	105	55	105	88	lp
124	-121.11	53.01	27	118	33	7903	210	-143	353	-69	25	125	-77	928	96	52	16	273	179	248	261	lp
125	-125.2	53.25	3	121	34	7808	182	-168	350	-90	-43	100	-100	469	52	20	25	149	76	134	133	lp
126	-116.5	50.83	-1	108	30	7817	189	-162	351	-92	-49	99	-100	719	81	44	19	226	145	184	215	lp
127	-118.63	49.63	8	97	30	7432	190	-130	320	-77	-40	104	-84	528	59	34	18	158	104	143	146	lp
128	-122.05	51	16	106	31	7521	191	-145	336	-73	-31	112	-78	471	54	25	21	148	90	129	142	lp
129	-122.18	51.15	9	109	31	7569	186	-158	344	-80	-38	105	-85	459	51	24	22	136	86	135	132	lp
130	-127.9	55.48	25	103	29	8139	205	-145	350	29	27	126	-83	583	69	21	31	186	82	152	163	lp
131	-127.35	54.65	19	99	29	7586	192	-140	332	-28	15	115	-79	625	74	25	28	210	93	155	179	lp
132	-127.7	54.81	20	95	29	7495	191	-134	325	-26	16	116	-76	672	82	28	30	228	100	158	196	lp
133	-127	54.76	19	111	30	8189	202	-160	362	-32	-26	120	-90	507	54	18	27	159	75	147	135	lp
134	-120.76	49.26	13	106	33	7236	189	-128	317	-71	104	106	-78	636	90	36	34	250	114	117	230	lp
135	-118.83	51.07	11	94	29	7642	191	-130	321	-79	5	110	-86	787	98	44	22	265	149	185	250	lp
136	-123.18	54.31	25	120	31	8818	218	-163	381	134	-22	134	-93	608	61	25	21	180	104	180	160	lp
137	-120.35	51.48	29	106	31	7859	210	-131	341	-66	-14	129	-72	582	64	31	18	173	110	163	162	lp
138	-115.95	49.4	18	113	32	7849	213	-139	352	-73	115	119	-81	758	91	41	25	262	138	159	242	lp
139	-118.03	49.71	20	95	29	7508	202	-117	319	-66	-29	117	-73	694	83	45	21	227	143	168	209	lp
140	-116.66	49.36	11	103	31	7538	199	-133	332	-75	106	109	-81	823	103	43	28	295	143	164	273	lp
141	-130.33	57.5	2	117	32	8754	189	-174	363	67	-45	109	-114	506	63	17	36	180	64	148	119	lp
142	-130.36	57.12	6	106	31	8042	181	-152	333	7	5	107	-98	695	95	28	34	242	100	173	180	lp
143	-128.75	54.81	26	82	29	6787	180	-99	279	-19	57	115	-59	1093	152	50	39	415	157	191	357	lp
144	-122.03	53.86	29	120	31	8693	220	-167	387	-78	30	135	-88	849	89	38	20	255	150	223	243	lp
145	-117.53	49.21	53	102	30	7882	245	-89	334	-38	150	155	-45	807	105	42	31	298	129	154	274	lp
146	-117.98	49.26	39	100	30	7796	228	-103	331	-51	136	140	-58	714	89	41	25	248	130	154	229	lp
147	-115.68	50.48	15	121	32	8222	213	-163	376	97	-35	118	-91	615	72	35	20	179	124	168	168	lp
148	-120.95	49.5	26	107	33	7289	202	-116	318	-60	119	119	-67	651	93	36	37	262	114	114	240	lp
149	-123.05	53.53	29	128	33	8644	222	-162	384	134	-14	134	-88	558	60	24	25	180	86	180	134	lp
150	-121.05	52.08	22	102	31	7631	192	-134	326	-70	19	119	-76	852	98	45	19	265	168	218	253	lp
151	-121.45	53.06	7	114	34	7592	183	-151	334	-84	0	103	-90	1025	105	59	14	302	209	267	291	lp
152	-116.26	49.31	27	111	32	7781	221	-124	345	-64	123	127	-70	767	95	40	28	275	134	153	251	lp
